part_id,date,scenario,session_id,time,datetime,tsv,tsv_scale,tcv,tcv_scale,tpv,tpv_scale,NASA1,NASA2,NASA3,NASA4,NASA5,measurement_timestep,tod,arm
P09,22-06-23,HS2,P09_HS2,13:30:00,22-06-23 13:30,Slightly warm,1,Slightly uncomfortable,1,Slightly cooler,-1,9,8,8,-2,-1,5,Afternoon,FR
P09,22-06-23,HS2,P09_HS2,16:30:00,22-06-23 16:30,Hot,2,Uncomfortable,2,Cooler,-2,13,10,11,1,2,8,Afternoon,FR
P12,22-06-23,HS2,P12_HS2,10:30:00,22-06-23 10:30,Slightly warm,1,Slightly uncomfortable,1,Slightly cooler,-1,9,7,11,-4,2,2,Morning,FR
P12,22-06-23,HS2,P12_HS2,13:30:00,22-06-23 13:30,Hot ,2,Uncomfortable,2,Cooler,-2,13,9,9,-2,-3,5,Afternoon,FR
P12,22-06-23,HS2,P12_HS2,16:30:00,22-06-23 16:30,Hot ,2,Uncomfortable,2,Cooler,-2,12,9,9,-1,-3,8,Afternoon,FR
P13,22-06-23,HS2,P13_HS2,10:30:00,22-06-23 10:30,Hot ,2,Uncomfortable,2,Cooler,-2,10,7,8,-2,1,2,Morning,FR
P13,22-06-23,HS2,P13_HS2,13:30:00,22-06-23 13:30,Slightly warm,1,Uncomfortable,2,Cooler,-2,9,10,13,1,-1,5,Afternoon,FR
P13,22-06-23,HS2,P13_HS2,16:30:00,22-06-23 16:30,Hot,2,Very uncomfortable,3,Cooler,-2,11,13,15,2,-2,8,Afternoon,FR
P14,22-06-23,HS2,P14_HS2,10:30:00,22-06-23 10:30,Hot,2,Uncomfortable,2,Cooler,-2,17,2,18,-4,-2,2,Morning,FR
P14,22-06-23,HS2,P14_HS2,13:30:00,22-06-23 13:30,Very hot,3,Very uncomfortable,3,Much cooler,-3,8,8,12,-3,2,5,Afternoon,FR
P14,22-06-23,HS2,P14_HS2,16:30:00,22-06-23 16:30,Very hot,3,Very uncomfortable,3,Much cooler,-3,10,10,13,-1,3,8,Afternoon,FR
P15,22-06-23,HS2,P15_HS2,10:30:00,22-06-23 10:30,Slightly warm,1,Slightly uncomfortable,1,Slightly cooler,-1,7,6,13,2,5,2,Morning,FR
P15,22-06-23,HS2,P15_HS2,13:30:00,22-06-23 13:30,Hot,2,Uncomfortable,2,Cooler,-2,11,7,12,0,1,5,Afternoon,FR
P15,22-06-23,HS2,P15_HS2,16:30:00,22-06-23 16:30,Very hot,3,Very uncomfortable,3,Much cooler,-3,7,4,13,-1,0,8,Afternoon,FR
P19,22-06-23,HS2,P19_HS2,10:30:00,22-06-23 10:30,Hot,2,Slightly uncomfortable,1,Cooler,-2,13,17,1,-2,3,2,Morning,CC
P19,22-06-23,HS2,P19_HS2,13:30:00,22-06-23 13:30,Hot,2,Uncomfortable,2,Cooler,-2,11,15,7,2,-4,5,Afternoon,CC
P19,22-06-23,HS2,P19_HS2,16:30:00,22-06-23 16:30,Hot,2,Uncomfortable,2,Cooler,-2,15,17,7,2,4,8,Afternoon,CC
P22,22-06-23,HS2,P22_HS2,10:30:00,22-06-23 10:30,Slightly warm,1,Uncomfortable,2,Cooler,-2,1,1,1,-2,-3,2,Morning,CC
P22,22-06-23,HS2,P22_HS2,13:30:00,22-06-23 13:30,Hot,2,Uncomfortable,2,Much cooler,-3,1,1,1,-3,-4,5,Afternoon,CC
P22,22-06-23,HS2,P22_HS2,16:30:00,22-06-23 16:30,Hot,2,Uncomfortable,2,Much cooler,-3,2,1,1,-2,-4,8,Afternoon,CC
P01,23-06-23,HS2,P01_HS2,10:30:00,23-06-23 10:30,Hot,2,Slightly uncomfortable,1,Cooler,-2,6,6,4,1,2,2,Morning,CC
P01,23-06-23,HS2,P01_HS2,13:30:00,23-06-23 13:30,Hot,2,Uncomfortable,2,Cooler,-2,6,6,8,1,2,5,Afternoon,CC
P01,23-06-23,HS2,P01_HS2,16:30:00,23-06-23 16:30,Slightly warm,1,Slightly uncomfortable,1,Slightly cooler,-1,5,4,4,-2,2,8,Afternoon,CC
P04,23-06-23,HS2,P04_HS2,10:30:00,23-06-23 10:30,Slightly warm,1,Slightly uncomfortable,1,Slightly cooler,-1,1,1,1,-5,3,2,Morning,FR
P04,23-06-23,HS2,P04_HS2,13:30:00,23-06-23 13:30,Slightly warm,1,Comfortable,0,Without change,0,1,1,1,-5,3,5,Afternoon,FR
P04,23-06-23,HS2,P04_HS2,16:30:00,23-06-23 16:30,Slightly warm,1,Comfortable,0,Without change,0,1,1,1,-5,3,8,Afternoon,FR
P08,23-06-23,HS2,P08_HS2,10:30:00,23-06-23 10:30,Hot,2,Uncomfortable,2,Cooler,-2,8,10,9,-2,-2,2,Morning,FR
P08,23-06-23,HS2,P08_HS2,13:30:00,23-06-23 13:30,Slightly warm,1,Slightly uncomfortable,1,Slightly cooler,-1,12,12,9,-1,-1,5,Afternoon,FR
P08,23-06-23,HS2,P08_HS2,16:30:00,23-06-23 16:30,Hot,2,Uncomfortable,2,Slightly cooler,-1,12,10,13,1,-2,8,Afternoon,FR
P11,23-06-23,HS2,P11_HS2,10:30:00,23-06-23 10:30,Slightly warm,1,Very uncomfortable,3,Slightly cooler,-1,13,11,11,-1,0,2,Morning,FR
P11,23-06-23,HS2,P11_HS2,13:30:00,23-06-23 13:30,Hot,2,Very uncomfortable,3,Cooler,-2,14,15,9,-1,2,5,Afternoon,FR
P11,23-06-23,HS2,P11_HS2,16:30:00,23-06-23 16:30,Slightly warm,1,Very uncomfortable,3,Slightly cooler,-1,13,13,9,-1,2,8,Afternoon,FR
P16,23-06-23,HS2,P16_HS2,10:30:00,23-06-23 10:30,Slightly warm,1,Uncomfortable,2,Cooler,-2,1,1,1,-3,-1,2,Morning,CC
P16,23-06-23,HS2,P16_HS2,13:30:00,23-06-23 13:30,Slightly warm,1,Slightly uncomfortable,1,Cooler,-2,1,1,1,-3,-1,5,Afternoon,CC
P16,23-06-23,HS2,P16_HS2,16:30:00,23-06-23 16:30,Hot,2,Uncomfortable,2,Cooler,-2,1,1,1,1,-3,8,Afternoon,CC
P17,23-06-23,HS2,P17_HS2,10:30:00,23-06-23 10:30,Slightly warm,1,Slightly uncomfortable,1,Slightly cooler,-1,3,3,5,-3,-3,2,Morning,CC
P17,23-06-23,HS2,P17_HS2,13:30:00,23-06-23 13:30,Slightly warm,1,Comfortable,0,Slightly cooler,-1,2,2,4,-4,-2,5,Afternoon,CC
P17,23-06-23,HS2,P17_HS2,16:30:00,23-06-23 16:30,Slightly warm,1,Comfortable,0,Slightly cooler,-1,3,2,5,-2,-1,8,Afternoon,CC
P24,23-06-23,HS2,P24_HS2,10:30:00,23-06-23 10:30,Neither hot nor cold,0,Comfortable,0,Without change,0,5,4,10,-5,3,2,Morning,CC
P24,23-06-23,HS2,P24_HS2,13:30:00,23-06-23 13:30,Slightly warm,1,Slightly uncomfortable,1,Slightly cooler,-1,6,3,12,-5,-1,5,Afternoon,CC
P24,23-06-23,HS2,P24_HS2,16:30:00,23-06-23 16:30,Slightly warm,1,Comfortable,0,Without change,0,5,3,11,-5,-2,8,Afternoon,CC
